Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
The Empire strikes back,,9.78184E+12,"Land, David [person]",Star Wars. Infinities,,England,London,Titan,2003,Comic or graphic novel ; Fiction ; Science fiction
The Escapists,,9.78159E+12,"Vaughan, Brian K. [person] ; Rolston, Steve [person]",,,England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2007,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
The Eternals : the complete saga omnibus,,9.7813E+12,"Thomas, Roy, 1940-, author [person] ; Kirby, Jack, author [person] ; Gillis, Peter B., author [person]",,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction
The Eternals,,9.7813E+12,"Kirby, Jack, artist ; author [person]",,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction
The Ethiopian : a Corto Maltese graphic novel,Éthiopiques. English,9.78163E+12,"Pratt, Hugo, artist ; author [person] ; Mullaney, Dean, 1954-, editor ; translator [person] ; Castaldi, Simone, translator [person]",The Corto Maltese series,6 [The Corto Maltese series],United States of America,"San Diego, California",Euro Comics,2016,Adventure ; Comic or graphic novel ; Fiction ; Novel
The Expendables,Expendables. Volume 1,9.78161E+12,"Polls, Esteve [person] ; Dixon, Chuck, 1954- [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2010,Comic or graphic novel ; Novel
The Fabulous Furry Freak Brothers omnibus,,9.78086E+12,"Shelton, Gilbert, 1940- [person]",,,England,London,Knockabout,2008,Comic or graphic novel ; Fiction
The Falcon Temple,Faucon du Temple. English ; Last Templar,9.78185E+12,"Khoury, Raymond [person] ; Lalor, Miguel, artist [person] ; Thorn, artist [person] ; Bence, Mark, translator [person]",The last Templar,4 [The last Templar],England,Canterbury,Cinebook,2017,Comic or graphic novel ; Fiction ; Suspense ; Young adult fiction
The Fantastic Four comic album,Fantastic Four,,,,,England,Manchester,World,1968-1968,Comic or graphic novel
The Fantastic Four omnibus,,,"Kirby, Jack [person] ; Lee, Stan, 1922-2018 [person]",Marvel omnibus,,England ; United States of America,London ; New York,Diamond ; Marvel Publishing,2007-,Comic or graphic novel
The Fantastic Four,,9.78079E+12,"Kirby, Jack [person] ; Lee, Stan, 1922-2018 [person]",Marvel masterworks,volume 8 [Marvel masterworks],England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
The Fetishman filthology,Works. Selections,9.78095E+12,"Banyard, Geof, artist ; author [person]",,,England,Leeds,Doctor Geof,2016,Comic or graphic novel ; Fiction
The Filth,"Filth (New York, N.Y.) ; Inside the hand ; Man made god ; Perfect victim ; Pornomancer ; S**t happens ; Structures and ultrastructures ; Us vs. them ; World of Anders Klimakks ; Zero democracy ; [heart] *%",9.7814E+12,"Robins, Clem, 1955- [person] ; Hi-Fi Colour Design [organisation] ; Morrison, Grant, author [person] ; Hollingsworth, Matt [person] ; Morrison, Grant [person] ; Erskine, Gary [person] ; Weston, Chris, 1969- [person]",,,United States of America,New York,DC Comics,2017,Comic or graphic novel
The Finder library,,,"McNeil, Carla Speed [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2011,Comic or graphic novel ; Fantasy ; Science fiction
The First World War,World War I,9.78191E+12,,Classics illustrated. Special issue,"World War I, number 1 [Classics illustrated. Special issue]",England,"Thatcham, Berkshire",Classic Comic Store,2014,Comic or graphic novel ; Fiction
The Flash : 100 greatest moments : highlights from the history of the Scarlet Speedster,,9.78079E+12,"Greenberger, Robert, author [person]",100 greatest moments of DC Comics,,United States of America,Edison,Chartwell,2020,Comic or graphic novel
The Flash : Two worlds collide,,,"Di Giandomenico, Carmine, artist [person] ; Williamson, Joshua, author [person] ; Corona, Jorge, artist [person] ; Percy, Benjamin, author [person] ; Schmidt, Otto, artist [person]",DC super heroes ; Rebirth,3.5 [DC super heroes],England,London,Titan Magazines,2017,Comic or graphic novel
The Flash : a celebration of 75 years,,9.7814E+12,,,,United States of America,New York,DC Comics,2015,Comic or graphic novel ; Fiction
The Flash by Grant Morrison and Mark Millar,,9.7814E+12,"Damaggio, Rodolfo, illustrator [person] ; Morrison, Grant, author [person] ; Lightle, Steve, illustrator [person] ; Saladino, Gaspar, illustrator [person] ; Ryan, Paul, 1949-2016, illustrator [person] ; Marz, Ron, author [person] ; McCraw, Tom, illustrator [person] ; Millar, Mark, author [person] ; Campanella, Robert, illustrator [person] ; Dixon, Chuck, 1954-, author [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction ; Novel
The Flash chronicles,,,"Infantino, Carmine [person] ; Broome, John, 1913-1999 [person] ; Kanigher, Robert [person] ; Giella, Joe [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2009-,Comic or graphic novel ; Novel
The Flash omnibus,,9.7814E+12,"Manapul, Francis, artist ; author [person] ; Buccellato, Brian, artist ; author [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction
The Flash season zero,,9.7814E+12,"Hester, Phil, 1966-, artist [person] ; Gapstur, Eric, artist [person] ; Kreisberg, Andrew, 1971-, author [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Fiction ; Science fiction
The Flash unwrapped by Francis Manapul,,9.7814E+12,"Buccellato, Brian, author [person] ; Mangual, Carlos M. [person] ; Abbott, Wes [person] ; Cipriano, Sal [person] ; Manapul, Francis, artist ; author [person]",,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel
The Flash,,,,,,England,London,Strato Publications,1959-1960,Comic or graphic novel
The Flintstones : Sherock Stones,,9.78056E+12,Bbc Worldwide Ltd [organisation],,,England,London,BBC Worldwide,2000,Comic or graphic novel
The Flintstones and Pebbles,,,,,,United States of America,"Derby, Connecticut",Charlton Press,,Comic or graphic novel
The Flintstones comic album,Hanna-Barbera's the Flintstones comic album,,,,,England,Manchester,World,,Comic or graphic novel
The Flintstones featuring The Great Gazoo,Great Gazoo,,,,,United States of America,"Derby, Connecticut",Charlton Press,1973-,Comic or graphic novel
The Francis Blake affair,,9.78191E+12,"Benoit, Ted [person] ; Hamme, Jean van, 1939- [person] ; Jacobs, Edgar-P. (Edgar-Pierre), 1904-1987 [person]",Blake & Mortimer,volume 4 [Blake & Mortimer],England,Ashford,Cinebook,2008,Children's fiction ; Comic or graphic novel ; Detective and mystery
The Frank book,,9.78156E+12,"Woodring, Jim [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2003,Comic or graphic novel ; Fiction
The Fred files,,9.78075E+12,"Graham, Alex (Alexander) [person]",,,England,London,Orion,2005,Comic or graphic novel
The French quarter,,9.78161E+12,"Tischman, David, author [person] ; Balboni, Claudia, illustrator [person] ; Messina, illustrator [person] ; Huehner, Mariah, author [person] ; Letizia, Bruno, illustrator [person]",True blood,volume 3 [True blood],United States of America,"San Diego, California",,2014,Comic or graphic novel ; Fiction ; Novel ; Paranormal romance fiction
The Fun family,,9.7816E+12,"Frisch, Benjamin, author [person]",,,United States of America,Marietta,Top Shelf Productions,2016,Comic or graphic novel ; Fiction ; Novel
The Furies,,9.78184E+12,"Bolton, John, 1951- [person] ; Carey, Mike, 1959- [person]",The Sandman,,England,London,Titan,2003,Comic or graphic novel ; Fantasy ; Fiction
The Gambols,Gambols book,,"Appleby, Dobs, illustrator [organisation] ; Appleby, Barry, author [organisation] ; Appleby, Barry, illustrator [organisation] ; Appleby, Dobs, author [organisation]",,,England,London,Daily Express,1952-,Comic or graphic novel
The Garfield journal,,9.78035E+12,"Davis, Jim, 1945 July 28- [person]",,,England ; United States of America,Enfield ; New York,Ballantine ; Group Worldwide,2006,Comic or graphic novel
The Gathering of Five,,9.78079E+12,"Mackie, Howard, author [person] ; Dezago, Todd, author [person] ; Byrne, John, 1950-, author [person]",Spider-man,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction
The Ghoul,,9.7816E+12,"Niles, Steve [person] ; Wrightson, Berni [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2010,Comic or graphic novel ; Fiction ; Horror
The Ghouly Boys,,,,SLG/Amaze Ink peepshow,,United States of America,San Jose,SLG Pub,2004-,Comic or graphic novel ; Fiction ; Humour or satire ; Periodical
The Gnomans : in the beginning,In the beginning,9.78187E+12,"Philipus, illustrator [person] ; Tagomas, author [person]",,,England,"Greenhead, Northumberland",Roman Army Museum Publications,2013,Children's fiction ; Comic or graphic novel
The God Butcher,,9.78079E+12,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person]","Thor, God of Thunder","1 [Thor, God of Thunder]",United States of America,New York,Marvel,2013,Comic or graphic novel ; Fantasy ; Fiction
The God Quarry,,9.7813E+12,"Peralta, Germán, artist [person] ; Lemire, Jeff, author [person]",Thanos,2 [Thanos],United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction ; Science fiction
The God butcher,,9.78079E+12,"Aaron, Jason, author [person] ; Ribic, Esad, artist [person] ; Thomas, Jake, editor [person] ; White, Dean (Dean V.), artist [person] ; Sabino, Joe, artist [person] ; Svorcina, Ive, artist [person] ; Sankovitch, Lauren, editor [person]","Thor, God of Thunder",,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fantasy ; Fiction
The God in the bowl and other stories,,9.78159E+12,"Busiek, Kurt [person]",Conan,,England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2005,Comic or graphic novel ; Fantasy ; Fiction
The Golden Avenger,,9.78079E+12,"Kirby, Jack, artist [person] ; Ditko, Steve, artist [person] ; Lee, Stan, 1922-2018, author [person]",Iron Man epic collection,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
The Gondwana shrine,Machination Voronov. English,9.78185E+12,"Sente, Yves, 1964- [person] ; Juillard, André [person]",The Blake & Mortimer series,volume 11 [The Blake & Mortimer series],England,Canterbury,Cinebook,2011,Children's fiction ; Comic or graphic novel ; Detective and mystery
The Goon,Calamity of conscience ; Chinatown ; Death's greedy comeuppance ; Deformed of body and the devious of mind ; Heaps of ruination ; My murderous childhood (and other grievous yarns) ; Nothin' but misery ; Place of heartache and grief ; Rough stuff ; Those that is damned ; Virtue and the grim consequences thereof ; Wicked inclinations,,"Powell, Eric [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2004-,Comic or graphic novel ; Novel
The Gorn crisis,,9.78161E+12,"Moesta, Rebecca [person] ; Anderson, Kevin J., 1962- [person] ; Kordey, Igor [person]",Star Trek classics,1 [Star Trek classics],United States of America,"San Diego, California",,2011,Comic or graphic novel
The Gospel of Mark,Bible. Mark,9.781E+12,"Pillario, Simon Amadeus, artist [person] ; Esch, Ryan, artist [person] ; Wilmer, Leslie Simonin, artist [person]",,,England ; United Kingdom,,Word for Word Bible Comics,2018,Comic or graphic novel
The Grail War,,9.78178E+12,"Tappin, Steve [person] ; Mills, Pat [person]",Sláine,,England,Oxford,,2013,Comic or graphic novel ; Fantasy ; Fiction
The Grand Canyon conquest,Walt Disney's Uncle $crooge : the Grand Canyon conquest ; Walt Disney's Uncle Scrooge,9.78163E+12,"Gaydos, Sarah, editor [person] ; Gerstein, David, 1974-, editor [person] ; Disney Comics, Inc [organisation]",,,United States of America,"San Diego, California",,2015,Children's fiction ; Comic or graphic novel
The Grand Duke,Grand duc. English,9.78185E+12,"Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",A Lucky Luke adventure,29 [A Lucky Luke adventure],England,Canterbury,Cinebook,2011,Children's fiction ; Comic or graphic novel ; Novel ; Western
The Grand Vizier Iznogoud,,9.78185E+12,"Goscinny, 1926-1977, author [person] ; Saincantin, Jerome, translator [person] ; Tabary, 1930-2011, artist [person]",The adventures of the Grand Vizier Iznogoud,9 [The adventures of the Grand Vizier Iznogoud],England,Canterbury,Cinebook,2012,Children's fiction ; Comic or graphic novel ; Novel
The Great Wall of China,,9.78155E+12,"Savoia, Sylvain, artist [person] ; Erre, Fabrice, author [person]",Magical history tour,2 [Magical history tour],United States of America,New York,Papercutz,2021,Children's fiction ; Comic or graphic novel
The Green Hornet casefiles,,9.78193E+12,"Kaluta, Michael Wm (Michael William) [person] ; Procopio, Rubén [person] ; Mullaney, James [person] ; McKinney, Joe [person] ; Everson, John [person]",,,England ; United States of America,"Calumet City, Illinois ; London",Diamond ; Moonstone,2012,Comic or graphic novel ; Fiction
The Green Hornet strikes,Green Hornet strikes. 1,9.78161E+12,"Matthews, Brett, author [person] ; Borgoños, Dan, artist [person] ; Padilla, Ariel, 1968-, artist [person]",,,United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2013,Comic or graphic novel
The Green Lantern chronicles,,,"Broome, John, 1913-1999 [person] ; Giella, Joe [person] ; Kane, Gil [person]",,,United States of America,New York,DC Comics,2009-,Comic or graphic novel ; Fiction
The Guardian,A flight of angels ; Chaya Surah and the angel of death ; Guardian ; Original sin ; Shining host ; Story within the story within ; The story within the story within,9780857688941 ; 9781401221478 ; 9781401232009,"Kwitney, Alisa, 1964- [person] ; Klein, Todd [person] ; Willingham, Bill [person] ; Black, Holly [person] ; Mitchell, Todd [person] ; Guay-Mitchell, Rebecca [person] ; Hawes, Louise [person]",,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fantasy ; Novel
The Guild,,9.7816E+12,"Rugg, Jim [person] ; Day, Felicia, 1979- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2010,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
The Guilty Gun,April Fool ; Competition ; Happy New Year ; Hell Scallopini ; Li'l Adam ; Montabaldo ; No Spirit story today ; Quirte ; Spirit ; Taxes and the Spirit ; Teacher's Pet ; The Chapparell Lode ; The Desert ; The Inheritance ; The Spirit #16 Cover ; The Spirit #22 Cover ; The Story of Gerhard Shnobble ; Thorne Strand and the Spirit ; War Bride ; Will Eisner's the Spirit : artist's edition,9781613771754 ; 9781613776476,"Feiffer, Jules [person] ; Eisner, Will [person]",,,United States of America,"San Diego, California",,2013,Comic or graphic novel
The Gumps : 1929,Gumps. The saga of Mary Gold : the storyline that changed comics forever ; Saga of Mary Gold : the storyline that changed comics forever,9.78161E+12,"Smith, Sidney, 1877-1935, artist ; author [person]",The Library of American Comics essentials,volume 2 [The Library of American Comics essentials],United States of America,"San Diego, California",,2013,Comic or graphic novel
The Gunslinger : the little sister of Eluria,,9.78079E+12,"David, Peter (Peter Allen) [person] ; King, Stephen, 1947- [person]",The dark tower,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fantasy ; Fiction
The Hartlepool monkey,Singe de Hartlepool. English,9.78086E+12,"Lupano, Wilfrid, 1971-, author [person] ; Moreau, Jérémie, 1987-, artist [person]",,,England,London,Knockabout,2013,Comic or graphic novel ; Fiction ; Novel
The Hchom book,,9.78153E+12,"Churchland, Marian, 1982-, artist ; author [person]",,,United States of America,"Portland, Oregon",Image Comics,2018,Comic or graphic novel ; Novel
The Hedge knight,,9.78079E+12,"Miller, Mike S. [person] ; Martin, George R. R. [person] ; Avery, Ben, 1974- [person]",,,England ; United States of America,"Acworth, Georgia ; London",Dabel Brothers ; Diamond,2007,Comic or graphic novel ; Fiction ; Historical fiction ; Novel ; Young adult fiction
The Hellfire hunt,,9.7813E+12,"Ladrönn, artist [person] ; Robinson, James, 1963-, author [person]",Cable,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
The Henry Flint collection,,9.78191E+12,"Morrison, Robbie [person] ; Flint, Henry [person] ; Kennedy, Cam [person] ; Ezquerra, Carlos [person] ; Wagner, John, 1949- [person]",2000 AD ; Judge Dredd,,England,Oxford,Rebellion,2008,Comic or graphic novel ; Fiction
The Highest House,,9.78168E+12,"Carey, Mike, 1959-, writer [person] ; Alquier, Fabien [person] ; Gross, Peter, 1958-, artist [person]",,,United States of America,"San Diego, California",,2018,Comic or graphic novel
The Highgate Horror : collected comic strips from the pages of Doctor Who magazine,Doctor Who magazine,9.78185E+12,"Collins, Mike, 1961 May 5-, artist [person] ; Geraghty, Martin, artist [person] ; Wright, Mark, author [person] ; Roach, David (David A.), artist [person] ; Rayner, Jacqueline, author [person]",Collected twelfth Doctor comic strips ; Doctor Who graphic novel,#23 [Doctor Who graphic novel] ; volume 2 [Collected twelfth Doctor comic strips],England,"Tunbridge Wells, Kent",Panini,2016,Comic or graphic novel ; Fiction
The Hot Shot Hamish annual,Hot Shot Hamish,,,,,Scotland,Edinburgh,Black & White Publishing,2009-,Comic or graphic novel ; Fiction ; Periodical
The Hulk must die,,9.7813E+12,"Kirby, Jack, artist [person] ; Ditko, Steve, artist [person] ; Lee, Stan, 1922-2018, author [person]",Incredible Hulk epic collection,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
The Humans,Humans for life,9.78163E+12,"Collantes, Kristina [person] ; Keller, Keenan Marshall, author ; creator [person] ; Neely, Tom, creator ; illustrator [person]",,,United States of America,Berkeley,Image Comics,2015-,Comic or graphic novel ; Novel
The Hunchback of Notre Dame : a graphic novel,Notre-Dame de Paris,9.7816E+12,"Conrad, Tim, 1951- [person] ; Hugo, Victor, 1802-1885 [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel ; Novel
The Hunchback of Notre Dame,,9.7816E+12,"Owens, L. L. [person] ; Hugo, Victor, 1802-1885 [person] ; Rebis, Greg [person]",Graphic revolve,,United States of America,"Mankato, Minnesota ; Northam",Roundhouse ; Stone Arch,2008,Children's fiction ; Comic or graphic novel
The Hush saga omnibus,,9.7814E+12,"Lee, Jim, 1964-, author [person] ; Loeb, Jeph, author [person]",Batman,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction
The I Wonder Bookstore,Arukashira shoten. English,9.78145E+12,"Yoshitake, Shinsuke, 1973-, author ; illustrator [person]",,,United States of America,San Francisco,Chronicle,2019,Children's fiction ; Comic or graphic novel ; Fiction ; Humour or satire ; Novel
The Iceland trilogy,,9.78155E+12,"Raule, author [person] ; Ibáñez, Roger, 1977-, artist [person]",Jazz Maynard,2 [Jazz Maynard],United States of America,St Louis,Lion,2018,Comic or graphic novel ; Fiction ; Suspense
The Icelandic saga,,9.7814E+12,"Wood, Brian, 1972-, author ; creator [person] ; Gianfelice, Davide, artist [person] ; Shalvey, Declan, artist [person] ; McCaig, Dave [person] ; Cloonan, Becky, artist [person] ; Lanham, Travis [person] ; Azaceta, Paul, artist [person] ; Žeželj, Danijel, artist [person] ; Staples, Fiona, artist [person] ; Carnevale, Massimo, artist [person]",Northlanders,book 2 [Northlanders],United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
The Iliad : adapted from the epic poem by Homer,,9.78079E+12,"Homer [person] ; Thomas, Roy, 1940- [person] ; Sepulveda, Miguel Angel [person]",,,England ; United States of America,London ; New York,Diamond ; Marvel,2009,Comic or graphic novel ; Fiction ; Novel
The Iliad,,9.78079E+12,"Homer [person] ; Thomas, Roy, 1940- [person] ; Sepulveda, Miguel Angel [person]",,,United States of America,New York,Marvel,2008,Comic or graphic novel ; Fiction ; Novel
The Immortal Hulk omnibus,,9.78185E+12,"Ewing, Al, author [person] ; Waid, Mark, 1962-, author [person] ; Zub, Jim, author [person]",,,England,"Tunbridge Wells, Kent",Panini Publishing,2019,Comic or graphic novel ; Fiction
The Incal,,9.78159E+12,"Moebius, 1938-2012, artist [person] ; Jodorowsky, Alejandro, author [person]",,,United States of America,Los Angeles,Humanoids,2015,Comic or graphic novel ; Fiction ; Science fiction
The Incredible Hulk : prelude to Planet Hulk,Prelude to Planet Hulk,9.78079E+12,"Way, Daniel, 1974- [person] ; Cha, Keu [person] ; Cosby, Nate [person] ; Santacruz, Juan [person] ; Paniccia, Mark [person]",The Incredible Hulk,,England ; United States of America,London ; New York,Diamond ; Marvel,2006,Comic or graphic novel ; Fiction
The Incredible Hulk : return of the monster,,9.7819E+12,"Palmer, Tom, 1942-, artist [person] ; Romita, John, jr, artist [person] ; Jones, Bruce, 1944-, author [person]",,,England,Tunbridge Wells,Panini,2014,Comic or graphic novel ; Fiction ; Science fiction
The Incredible Hulk : the coming of the Hulk,Incredible Hulk ; v. 1 pts. 1-6,9.7819E+12,"Kirby, Jack [person] ; Lee, Stan, 1922-2018 [person] ; Ditko, Steve [person]",Marvel pocketbook,volume 1 [Marvel pocketbook],England,Tunbridge Wells,Panini,2004,Comic or graphic novel ; Fiction
The Incredible Hulk annual,,,,,,England,Exeter ; Tunbridge Wells,Panini ; Pedigree,2004-2009,Comic or graphic novel ; Periodical
The Incredible Hulk omnibus,,9.78079E+12,"Kirby, Jack [person] ; Lee, Stan, 1922-2018 [person] ; Friedrich, Gary, 1943- [person]",,,England ; United States of America,London ; New York,Diamond ; Marvel,2008,Comic or graphic novel ; Fiction
The Incredibles,Disney presents a Pixar film : The Incredibles,9.7816E+12,"Pixar (Firm) [organisation] ; Walt Disney Productions [organisation] ; Stein, Erin [person]",,,Germany ; United Kingdom,Hamburg,Tokyopop,2005,Children's fiction ; Comic or graphic novel ; Novel
The Infected,,9.78178E+12,,Year of the villain,,United States of America,"Burbank, California",DC Comics,2020,Comic or graphic novel ; Fiction
The Inheritance,April Fool ; Competition ; Happy New Year ; Hell Scallopini ; Li'l Adam ; Montabaldo ; No Spirit story today ; Quirte ; Spirit ; Taxes and the Spirit ; Teacher's Pet ; The Chapparell Lode ; The Desert ; The Guilty Gun ; The Spirit #16 Cover ; The Spirit #22 Cover ; The Story of Gerhard Shnobble ; Thorne Strand and the Spirit ; War Bride ; Will Eisner's the Spirit : artist's edition,9781613771754 ; 9781613776476,"Feiffer, Jules [person] ; Eisner, Will [person]",,,United States of America,"San Diego, California",,2013,Comic or graphic novel
The Inhumans,Amazing adventures (Marvel Comics Group : 1970) ; Thor (Comic strip),9.78191E+12,"Marvel Comics Group [organisation] ; Lee, Stan, 1922-2018, author ; editor [person] ; Sinnott, Joe, artist [person] ; Kirby, Jack, artist [person] ; Simek, Artie, 1916-1975 [person]",The ultimate graphic novels collection. Classic,,England,London,Hachette,2016,Comic or graphic novel
The Intrepid EscapeGoat,Escapegoat,9.78098E+12,"Smith, Brian (Brian Arthur), 1975- [person]",,,United States of America,"Ocean City, Maryland",Th3rd World Studios,2012,Children's fiction ; Comic or graphic novel ; Novel ; Paranormal fiction
The Intrinsic,Arcana Studio presents The Intrinsic ; From the Arcanaverse comes The Intrinsic,9.78193E+12,"O'Reilly, Sean, 1974-, author [person] ; Hendrix, Erik, author [person] ; Jones, Casey, 1980-, author [person] ; Otero, Allan, artist [person]",,,Canada,"Burnaby, British Columbia",Arcana Comics,2012,Comic or graphic novel ; Science fiction
The Irish version,Version irlandaise. English,9.78185E+12,"Hamme, Jean van, 1939- [person] ; Saincantin, Jerome, translator [person] ; Moebius, 1938-2012 [person]",XIII,17 [XIII],England,Canterbury,Cinebook,2013,Comic or graphic novel ; Fiction ; Novel ; Suspense
The Iron Nail,,9.78185E+12,"Remender, Rick, author [person] ; Alonso, Axel, editor [person] ; Klein, Nic, 1978-, illustrator [person] ; Alixe, Pascal, illustrator [person]",Captain America,,England,"Tunbridge Wells, Kent",Panini,2014,Comic or graphic novel ; Fiction ; Science fiction
The Isle of Brac,Île de Brac. English,9.78185E+12,"Bonhomme, Matthieu, artist [person] ; Vehlmann, Fabien, 1972-, author [person] ; Bence, Mark, translator [person]",The Marquis of Anaon,1 [The Marquis of Anaon],England,"Canterbury, Kent",Cinebook,2015,Comic or graphic novel ; Fiction ; Historical fiction ; Novel ; Young adult fiction
The Jack Kirby omnibus : volume 1,,9.78086E+12,"Kirby, Jack [person]",,,England,London,Titan,2011,Comic or graphic novel ; Fiction
The Jamboree,"Jamboree (Edinburgh, Scotland)",,,,,Scotland,Edinburgh,Dick Ross,1979-,Comic or graphic novel
The James Bond omnibus : volume 002,,9.78185E+12,"Lawrence, James Duncan, 1918-1994 [person] ; Horak, Yaroslav [person] ; Fleming, Ian, 1908-1964 [person]",,,England,London,Titan,2011,Comic or graphic novel ; Fiction
The Jason Fly case,Dossier Jason Fly. English,9.78185E+12,"Hamme, Jean van, 1939- [person] ; Vance, William, 1935- [person]",XIII,6 [XIII],England,Canterbury,Cinebook,2011,Comic or graphic novel ; Fiction ; Novel ; Suspense fiction
The Jetsons,"Jetsons (Derby, Conn.)",,,,,United States of America,"Derby, Connecticut",Charlton Press,1970-1973,Comic or graphic novel
The Joe Shuster story : the artist behind Superman,,9.78163E+12,"Campi, Thomas, 1975-, artist [person] ; Voloj, Julian, author [person]",,,United States of America,New York,Super Genius,2018,Comic or graphic novel ; Fiction
The Joker : 80 years of the Clown Prince of Crime,,9.7814E+12,,,,United States of America,"Burbank, California",DC Comics,2020,Comic or graphic novel ; Fiction
The Joker : Death of the Family,,9781401242350 ; 9781401246464,,,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Novel
The Joker : The Clown Prince of Crime,,9.7814E+12,,,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Novel
The Joker : a Celebration of 75 Years,,9.7814E+12,,,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Novel
The Joker : endgame,Batman (Comic strip) ; End game ; Endgame,9.7814E+12,"Shuster, Joe, 1914-1992 [person] ; Capullo, Greg, artist [person] ; Snyder, Scott, author [person] ; Cloonan, Becky, author [person] ; Fletcher, Brenden, author [person] ; Kane, Bob [person] ; Tynion, James, iv, author [person] ; Siegel, Jerry, 1914-1996 [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Science fiction
The Joker : his greatest jokes,,9.7814E+12,,,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction
The Joker : the greatest stories ever told,,9.78185E+12,"Kane, Bob [person] ; Finger, Bill, 1914-1974 [person]",,,England,London,Titan,2008,Comic or graphic novel ; Fiction
The Judas Contract,,9.7814E+12,"Pérez, George, 1954-, artist [person] ; Wolfman, Marv, author [person]",New Teen Titans,,United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction ; Science fiction
The Judas coin,,9781401215415 ; 9781781164624,"Simonson, Walter [person] ; Workman, John, 1950- [person] ; Kindzierski, Lovern, 1954- [person]",,,United States of America,New York,DC Comics,2012,Comic or graphic novel ; Novel ; Science fiction
The Judas contract,,9.7814E+12,"Pérez, George, 1954-, artist [person] ; Wolfman, Marv, author [person]",Teen Titans,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction ; Science fiction
The Judge Child quest,,9.78184E+12,"Bolland, Brian [person] ; Smith, Ron, 1926- [person] ; Grant, Alan, 1949- [person] ; McMahon, Mike [person] ; Wagner, John, 1949- [person]",Judge Dredd,,England,"London ; Santa Monica, California",Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
The Judge Child,2000 AD,9.78178E+12,"Grant, Alan, 1949-, author [person] ; Wagner, John, 1949-, author [person] ; Smith, Ron, 1926-, illustrator [person] ; McMahon, Mike, illustrator [person] ; Bolland, Brian, illustrator [person]",Judge Dredd,,England,Oxford,Rebellion,2013,Comic or graphic novel ; Fiction ; Science fiction
The Jungle line,For the man who has everything ; Pinup art ; Superman. Whatever happened to the Man of Tomorrow? ; Whatever happened to the Man of Tomorrow? ; Whatever happened to the man of tomorrow?,9.7814E+12,"Swan, Curt [person] ; Moore, Alan, 1953- [person]",,,United States of America,New York,DC Comics,2009,Comic or graphic novel ; Novel ; Science fiction
The Killer,Tueur. English ; Unfair competition,,"Matz [person] ; Jacamon, Luc [person]",,,United States of America,"Fort Lee, New Jersey",Archaia Studios Press,2007-,Comic or graphic novel ; Novel
